timestamp,Total
12/16/2013,146188.66
12/17/2013,146577.612
12/18/2013,147275.458
12/19/2013,156752.59
12/20/2013,234056.23
12/21/2013,192121.614
12/22/2013,244678.23
12/23/2013,232676.612
12/24/2013,155290.98
12/25/2013,146867.434
12/26/2013,142677.324
12/27/2013,142793.8
12/28/2013,150086.548
12/29/2013,142422.834
12/30/2013,138143.928
